2026-02-14 00:58:09,657 | INFO | uvicorn.access | 127.0.0.1:55500 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:58:09,801 | INFO | uvicorn.access | 127.0.0.1:55500 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:58:14,466 | INFO | uvicorn.access | 127.0.0.1:54438 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:58:14,507 | INFO | uvicorn.access | 127.0.0.1:55500 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:58:14,801 | INFO | uvicorn.access | 127.0.0.1:55500 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:58:14,802 | INFO | uvicorn.access | 127.0.0.1:51631 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 01:00:58,094 | INFO | uvicorn.access | 127.0.0.1:62489 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=staff&roles=manager&roles=admin&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 01:00:58,809 | INFO | uvicorn.access | 127.0.0.1:58737 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 01:00:58,809 | INFO | uvicorn.access | 127.0.0.1:52031 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 01:00:58,810 | INFO | uvicorn.access | 127.0.0.1:58767 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 01:02:36,225 | INFO | uvicorn.access | 127.0.0.1:55821 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=admin&sortBy=%7B%7D HTTP/1.1" 200
